ID,OBJECT_NAME,RA,DEC,TYPE,REDSHIFT
161,WHL J080055.1+514002,120.22958,51.66722,GClstr,0.3823
162,WHL J080055.3+295956,120.23042,29.99889,GClstr,0.341615
163,WHL J080055.4+261655,120.23083,26.28194,GClstr,0.5117
164,WHL J080056.4+154629,120.235,15.77472,GClstr,0.5341
165,WHL J080056.4+404831,120.23515,40.80852,GClstr,0.4509
166,GMBCG J120.23602+39.09180,120.23602,39.0918,GClstr,0.391
167,WHL J080056.7+305339,120.23625,30.89417,GClstr,0.432486
168,WHL J080056.8+360324,120.23674,36.05655,GClstr,0.296506
169,GMBCG J120.23687+26.47955,120.23687,26.47955,GClstr,0.261
170,NSC J080057+485839,120.23838,48.97769,GClstr,0.2037
171,NSC J080057+284317,120.23956,28.72161,GClstr,0.0951
172,PSZ2 G184.68+28.91,120.23981,36.09728,GClstr,0.288
173,WHL J080058.0+362223,120.24178,36.37316,GClstr,0.293059
174,WHL J080058.9+362405,120.24527,36.4014,GClstr,0.24035
175,ABELL 0611,120.24542,36.04722,GClstr,0.288
176,NSC J080059+540434,120.24586,54.07619,GClstr,0.1329
177,GMBCG J120.24782+46.19201,120.24782,46.19201,GClstr,0.375
178,GMBCG J120.24818+15.77134,120.24818,15.77134,GClstr,0.3
179,GMBCG J120.24903+34.57004,120.24903,34.57003,GClstr,0.13
180,SDSSCGB 31506,120.24958,27.56556,GGroup,0.4484
181,WHL J080100.1+132908,120.25042,13.48556,GClstr,0.4114
182,MSPM 00645,120.2513,27.1797,GClstr,0.04739
183,WH J080100.3+484735,120.25146,48.79308,GClstr,0.7655
184,WHL J080101.4+134952,120.25583,13.83111,GClstr,0.1076
185,[GRW2022] J120.25783+11.15041,120.25784,11.15042,GClstr,0.567437
186,GMBCG J120.25795+48.85900,120.25795,48.859,GClstr,0.36
187,ABELL 0612,120.25889,34.81144,GClstr,0.0773
188,ABELL 0612 NED01,120.25889,34.81144,GClstr,0.155
189,WHL J080102.3+254832,120.25948,25.80892,GClstr,0.4478
190,WHL J080102.3+140229,120.25969,14.04146,GClstr,0.105
191,WHL J080102.4+055132,120.25982,5.85891,GClstr,0.3259
192,WHL J080102.9+360329,120.26208,36.05806,GClstr,0.2716
193,WHL J080103.4+074137,120.26431,7.69348,GClstr,0.4967
194,WHL J080103.5+395029,120.26441,39.84137,GClstr,0.3751
195,GMBCG J120.26585+08.44355,120.26585,8.44355,GClstr,0.324
196,WHL J080103.8+154650,120.26604,15.78056,GClstr,0.5447
197,MSPM 07248,120.2666,13.8648,GClstr,0.10851
198,NSC J080104+360630,120.26668,36.10838,GClstr,0.2162
199,GMBCG J120.26790+39.96117,120.2679,39.96117,GClstr,0.345
200,WHL J080104.4+054923,120.26833,5.82306,GClstr,0.33109
